Year,Price Date,Hour Ending,Peak,Hourly TDMP MID-C,ICE MID-C,PowerDex Mid-C
2020,08/01/2020,7,Peak,15,20.01,14.91
2020,08/01/2020,8,Peak,15,20.01,16.42
2020,08/01/2020,9,Peak,16,20.01,17.5
2020,08/01/2020,10,Peak,18,20.01,17.77
2020,08/01/2020,11,Peak,15,20.01,16.52
2020,08/01/2020,12,Peak,12,20.01,15.53
2020,08/01/2020,13,Peak,10,20.01,14.41
2020,08/01/2020,14,Peak,10,20.01,17.4
2020,08/01/2020,15,Peak,10,20.01,17.24
2020,08/01/2020,16,Peak,17,20.01,16.66
2020,08/01/2020,17,Peak,20,20.01,13.44
2020,08/01/2020,18,Peak,20,20.01,17.13
2020,08/01/2020,19,Peak,20,20.01,16.98
2020,08/01/2020,20,Peak,18,20.01,17.28
2020,08/01/2020,21,Peak,20,20.01,16.94
2020,08/01/2020,22,Peak,15,20.01,14.59
2020,08/02/2020,7,Peak,5,9.5,5.33
2020,08/02/2020,8,Peak,8,9.5,8
2020,08/02/2020,9,Peak,10,9.5,9.86
2020,08/02/2020,10,Peak,10,9.5,9.36
2020,08/02/2020,11,Peak,10,9.5,9.72
2020,08/02/2020,12,Peak,10,9.5,10.12
2020,08/02/2020,13,Peak,15,9.5,10.41
2020,08/02/2020,14,Peak,18,9.5,17.16
2020,08/02/2020,15,Peak,20,9.5,17.52
2020,08/02/2020,16,Peak,20,9.5,17.61
2020,08/02/2020,17,Peak,22,9.5,17.71
2020,08/02/2020,18,Peak,22,9.5,17.69
2020,08/02/2020,19,Peak,22,9.5,17.65
2020,08/02/2020,20,Peak,22,9.5,17.43
2020,08/02/2020,21,Peak,18,9.5,17.62
2020,08/02/2020,22,Peak,15,9.5,16.33
2020,08/03/2020,7,Peak,10,21.05,17.93
2020,08/03/2020,8,Peak,12,21.05,14.9
2020,08/03/2020,9,Peak,12,21.05,19
2020,08/03/2020,10,Peak,12,21.05,13.9
2020,08/03/2020,11,Peak,13,21.05,12
2020,08/03/2020,12,Peak,21,21.05,15.47
2020,08/03/2020,13,Peak,25,21.05,26.25
2020,08/03/2020,14,Peak,32,21.05,30.68
2020,08/03/2020,15,Peak,32,21.05,31.18
2020,08/03/2020,16,Peak,38,21.05,32.22
2020,08/03/2020,17,Peak,40,21.05,36.07
