Year,Price Date,Hour Ending,Peak,Hourly TDMP MID-C,ICE MID-C,PowerDex Mid-C
2020,01/01/2020,7,Peak,13,23.4,13.55
2020,01/01/2020,8,Peak,13,23.4,13.78
2020,01/01/2020,9,Peak,10,23.4,11.93
2020,01/01/2020,10,Peak,10,23.4,10.64
2020,01/01/2020,11,Peak,10,23.4,10.48
2020,01/01/2020,12,Peak,10,23.4,9.77
2020,01/01/2020,13,Peak,11,23.4,10.52
2020,01/01/2020,14,Peak,12,23.4,11.4
2020,01/01/2020,15,Peak,12,23.4,10.36
2020,01/01/2020,16,Peak,13,23.4,9.68
2020,01/01/2020,17,Peak,14,23.4,12.66
2020,01/01/2020,18,Peak,15,23.4,17.63
2020,01/01/2020,19,Peak,18,23.4,16.66
2020,01/01/2020,20,Peak,18,23.4,16.26
2020,01/01/2020,21,Peak,15,23.4,17.94
2020,01/01/2020,22,Peak,15,23.4,17.46
2020,01/02/2020,7,Peak,15,29.24,11.93
2020,01/02/2020,8,Peak,15,29.24,13.33
2020,01/02/2020,9,Peak,15,29.24,14.75
2020,01/02/2020,10,Peak,18,29.24,17.92
2020,01/02/2020,11,Peak,20,29.24,20.08
2020,01/02/2020,12,Peak,22,29.24,20.36
2020,01/02/2020,13,Peak,22,29.24,20.86
2020,01/02/2020,14,Peak,22,29.24,21.96
2020,01/02/2020,15,Peak,22,29.24,23.15
2020,01/02/2020,16,Peak,22,29.24,22.53
2020,01/02/2020,17,Peak,27,29.24,27.95
2020,01/02/2020,18,Peak,28,29.24,28.13
2020,01/02/2020,19,Peak,30,29.24,29.21
2020,01/02/2020,20,Peak,30,29.24,29.3
2020,01/02/2020,21,Peak,28,29.24,30.7
2020,01/02/2020,22,Peak,28,29.24,29.1
2020,01/03/2020,7,Peak,30,23.92,30.29
2020,01/03/2020,8,Peak,30,23.92,29.44
2020,01/03/2020,9,Peak,26,23.92,29.03
2020,01/03/2020,10,Peak,25,23.92,26.51
2020,01/03/2020,11,Peak,24,23.92,22.71
2020,01/03/2020,12,Peak,24,23.92,20.22
2020,01/03/2020,13,Peak,26,23.92,23
2020,01/03/2020,14,Peak,26,23.92,24.42
2020,01/03/2020,15,Peak,24,23.92,23.51
2020,01/03/2020,16,Peak,25,23.92,23.5
2020,01/03/2020,17,Peak,26,23.92,23.86
2020,01/03/2020,18,Peak,27,23.92,24.76
2020,01/03/2020,19,Peak,27,23.92,24.72
2020,01/03/2020,20,Peak,25,23.92,24.3
2020,01/03/2020,21,Peak,25,23.92,23.36
2020,01/03/2020,22,Peak,25,23.92,23.15
2020,01/04/2020,7,Peak,18,23.92,16.01
2020,01/04/2020,8,Peak,15,23.92,17.42
2020,01/04/2020,9,Peak,20,23.92,16.96
2020,01/04/2020,10,Peak,20,23.92,18.47
2020,01/04/2020,11,Peak,20,23.92,18.19
2020,01/04/2020,12,Peak,20,23.92,18.76
2020,01/04/2020,13,Peak,20,23.92,18.71
2020,01/04/2020,14,Peak,20,23.92,17.74
2020,01/04/2020,15,Peak,20,23.92,17.56
2020,01/04/2020,16,Peak,18,23.92,17.83
2020,01/04/2020,17,Peak,18,23.92,18.4
2020,01/04/2020,18,Peak,20,23.92,18.72
2020,01/04/2020,19,Peak,20,23.92,20.01
2020,01/04/2020,20,Peak,20,23.92,20.11
2020,01/04/2020,21,Peak,21,23.92,22.3
2020,01/04/2020,22,Peak,21,23.92,20.69
2020,01/05/2020,7,Peak,25,22.43,23.75
2020,01/05/2020,8,Peak,25,22.43,25
2020,01/05/2020,9,Peak,25,22.43,23.71
2020,01/05/2020,10,Peak,22,22.43,24.89
2020,01/05/2020,11,Peak,21,22.43,23.19
2020,01/05/2020,12,Peak,20,22.43,20.57
2020,01/05/2020,13,Peak,20,22.43,18.75
2020,01/05/2020,14,Peak,20,22.43,18.08
2020,01/05/2020,15,Peak,18,22.43,17.79
2020,01/05/2020,16,Peak,17,22.43,16.19
2020,01/05/2020,17,Peak,17,22.43,16.41
2020,01/05/2020,18,Peak,17,22.43,18.03
2020,01/05/2020,19,Peak,18,22.43,17.65
2020,01/05/2020,20,Peak,18,22.43,17.63
2020,01/05/2020,21,Peak,16,22.43,16.95
2020,01/05/2020,22,Peak,16,22.43,18.18
2020,01/06/2020,7,Peak,20,30.95,20.29
2020,01/06/2020,8,Peak,20,30.95,21.05
2020,01/06/2020,9,Peak,15,30.95,20.22
2020,01/06/2020,10,Peak,15,30.95,19.03
2020,01/06/2020,11,Peak,15,30.95,17.34
2020,01/06/2020,12,Peak,15,30.95,15.99
2020,01/06/2020,13,Peak,15,30.95,16.14
2020,01/06/2020,14,Peak,15,30.95,15.23
2020,01/06/2020,15,Peak,15,30.95,16.45
2020,01/06/2020,16,Peak,15,30.95,16.26
2020,01/06/2020,17,Peak,16,30.95,16.67
2020,01/06/2020,18,Peak,16,30.95,18.13
2020,01/06/2020,19,Peak,18,30.95,18.69
2020,01/06/2020,20,Peak,18,30.95,17.46
2020,01/06/2020,21,Peak,13,30.95,13.05
2020,01/06/2020,22,Peak,10,30.95,10.4
2020,01/07/2020,7,Peak,18,26.22,20.89
2020,01/07/2020,8,Peak,20,26.22,23.53
2020,01/07/2020,9,Peak,25,26.22,27.23
2020,01/07/2020,10,Peak,25,26.22,27.58
2020,01/07/2020,11,Peak,25,26.22,26.9
2020,01/07/2020,12,Peak,25,26.22,27.23
2020,01/07/2020,13,Peak,25,26.22,25.4
2020,01/07/2020,14,Peak,25,26.22,23.42
2020,01/07/2020,15,Peak,25,26.22,24.46
2020,01/07/2020,16,Peak,25,26.22,24.6
2020,01/07/2020,17,Peak,25,26.22,26.63
2020,01/07/2020,18,Peak,25,26.22,30.83
2020,01/07/2020,19,Peak,25,26.22,27.5
2020,01/07/2020,20,Peak,25,26.22,24.28
2020,01/07/2020,21,Peak,20,26.22,20.08
2020,01/07/2020,22,Peak,18,26.22,18.13
2020,01/08/2020,7,Peak,18,24.44,19.13
2020,01/08/2020,8,Peak,20,24.44,21.52
2020,01/08/2020,9,Peak,25,24.44,22.45
2020,01/08/2020,10,Peak,25,24.44,22.96
2020,01/08/2020,11,Peak,25,24.44,22.56
2020,01/08/2020,12,Peak,25,24.44,23.33
2020,01/08/2020,13,Peak,25,24.44,23.26
2020,01/08/2020,14,Peak,25,24.44,23.6
2020,01/08/2020,15,Peak,25,24.44,25.66
2020,01/08/2020,16,Peak,25,24.44,27.85
2020,01/08/2020,17,Peak,28,24.44,29.22
2020,01/08/2020,18,Peak,28,24.44,30.47
2020,01/08/2020,19,Peak,28,24.44,32.94
2020,01/08/2020,20,Peak,30,24.44,33.57
2020,01/08/2020,21,Peak,38,24.44,35.23
2020,01/08/2020,22,Peak,35,24.44,37.27
2020,01/09/2020,7,Peak,41,34.07,44.33
2020,01/09/2020,8,Peak,45,34.07,47.88
2020,01/09/2020,9,Peak,45,34.07,49.48
2020,01/09/2020,10,Peak,43,34.07,42.97
2020,01/09/2020,11,Peak,35,34.07,33.83
2020,01/09/2020,12,Peak,32,34.07,32.48
2020,01/09/2020,13,Peak,32,34.07,32.13
2020,01/09/2020,14,Peak,32,34.07,29.2
2020,01/09/2020,15,Peak,30,34.07,29.6
2020,01/09/2020,16,Peak,32,34.07,30.95
2020,01/09/2020,17,Peak,33,34.07,33.41
2020,01/09/2020,18,Peak,38,34.07,36.31
2020,01/09/2020,19,Peak,40,34.07,40.17
2020,01/09/2020,20,Peak,40,34.07,39.53
2020,01/09/2020,21,Peak,39,34.07,37.35
2020,01/09/2020,22,Peak,39,34.07,38.33
2020,01/10/2020,7,Peak,45,28.18,44.97
2020,01/10/2020,8,Peak,45,28.18,45.09
2020,01/10/2020,9,Peak,40,28.18,41.99
2020,01/10/2020,10,Peak,40,28.18,38.76
2020,01/10/2020,11,Peak,38,28.18,38.13
2020,01/10/2020,12,Peak,40,28.18,38.26
2020,01/10/2020,13,Peak,40,28.18,38.82
2020,01/10/2020,14,Peak,40,28.18,38.21
2020,01/10/2020,15,Peak,40,28.18,37.49
2020,01/10/2020,16,Peak,35,28.18,37.59
2020,01/10/2020,17,Peak,38,28.18,38.06
2020,01/10/2020,18,Peak,38,28.18,39.76
2020,01/10/2020,19,Peak,35,28.18,39.53
2020,01/10/2020,20,Peak,36,28.18,35.71
2020,01/10/2020,21,Peak,30,28.18,29.5
2020,01/10/2020,22,Peak,25,28.18,28.17
2020,01/11/2020,7,Peak,20,28.18,17.82
2020,01/11/2020,8,Peak,20,28.18,18.3
2020,01/11/2020,9,Peak,20,28.18,19.33
2020,01/11/2020,10,Peak,21,28.18,20.61
2020,01/11/2020,11,Peak,21,28.18,20.94
2020,01/11/2020,12,Peak,21,28.18,20.49
2020,01/11/2020,13,Peak,20,28.18,20.04
2020,01/11/2020,14,Peak,20,28.18,20.11
2020,01/11/2020,15,Peak,20,28.18,18.89
2020,01/11/2020,16,Peak,20,28.18,20.03
2020,01/11/2020,17,Peak,23,28.18,21.46
2020,01/11/2020,18,Peak,20,28.18,23.88
2020,01/11/2020,19,Peak,20,28.18,21.56
2020,01/11/2020,20,Peak,20,28.18,18.89
2020,01/11/2020,21,Peak,20,28.18,20.67
2020,01/11/2020,22,Peak,18,28.18,20.26
2020,01/12/2020,7,Peak,20,24.56,22.37
2020,01/12/2020,8,Peak,20,24.56,18.65
2020,01/12/2020,9,Peak,18,24.56,19.86
2020,01/12/2020,10,Peak,21,24.56,20.06
2020,01/12/2020,11,Peak,22,24.56,18.87
2020,01/12/2020,12,Peak,18,24.56,19.76
2020,01/12/2020,13,Peak,18,24.56,16.38
2020,01/12/2020,14,Peak,15,24.56,15.11
2020,01/12/2020,15,Peak,15,24.56,15.55
2020,01/12/2020,16,Peak,18,24.56,15.69
2020,01/12/2020,17,Peak,18,24.56,19.01
2020,01/12/2020,18,Peak,20,24.56,18.8
2020,01/12/2020,19,Peak,18,24.56,19.58
2020,01/12/2020,20,Peak,16,24.56,17.06
2020,01/12/2020,21,Peak,18,24.56,17.57
2020,01/12/2020,22,Peak,18,24.56,17.18
2020,01/13/2020,7,Peak,20,38.74,21.07
2020,01/13/2020,8,Peak,21,38.74,24.56
2020,01/13/2020,9,Peak,27,38.74,27.77
2020,01/13/2020,10,Peak,28,38.74,27.6
2020,01/13/2020,11,Peak,28,38.74,27.23
2020,01/13/2020,12,Peak,28,38.74,28.5
2020,01/13/2020,13,Peak,28,38.74,28.66
2020,01/13/2020,14,Peak,30,38.74,28.69
2020,01/13/2020,15,Peak,30,38.74,29.76
2020,01/13/2020,16,Peak,34,38.74,34.24
2020,01/13/2020,17,Peak,40,38.74,39.43
2020,01/13/2020,18,Peak,48,38.74,45.91
2020,01/13/2020,19,Peak,48,38.74,47.01
2020,01/13/2020,20,Peak,46,38.74,45.29
2020,01/13/2020,21,Peak,38,38.74,41.26
2020,01/13/2020,22,Peak,30,38.74,34.6
2020,01/14/2020,7,Peak,41,33.65,39.76
2020,01/14/2020,8,Peak,41,33.65,49.81
2020,01/14/2020,9,Peak,50,33.65,50.38
2020,01/14/2020,10,Peak,45,33.65,47.72
2020,01/14/2020,11,Peak,45,33.65,48.36
2020,01/14/2020,12,Peak,45,33.65,45.65
2020,01/14/2020,13,Peak,35,33.65,41.47
2020,01/14/2020,14,Peak,25,33.65,35.02
2020,01/14/2020,15,Peak,25,33.65,33.28
2020,01/14/2020,16,Peak,27,33.65,26.76
2020,01/14/2020,17,Peak,28,33.65,34.72
2020,01/14/2020,18,Peak,30,33.65,32.17
2020,01/14/2020,19,Peak,30,33.65,31.67
2020,01/14/2020,20,Peak,30,33.65,31.48
2020,01/14/2020,21,Peak,27,33.65,28.53
2020,01/14/2020,22,Peak,25,33.65,27.51
2020,01/15/2020,7,Peak,35,34.69,34.77
2020,01/15/2020,8,Peak,35,34.69,36.27
2020,01/15/2020,9,Peak,38,34.69,36.81
2020,01/15/2020,10,Peak,35,34.69,32.07
2020,01/15/2020,11,Peak,30,34.69,28
2020,01/15/2020,12,Peak,30,34.69,27.44
2020,01/15/2020,13,Peak,30,34.69,28.06
2020,01/15/2020,14,Peak,27,34.69,24.88
2020,01/15/2020,15,Peak,27,34.69,25.63
2020,01/15/2020,16,Peak,27,34.69,24.23
